id,strain,sire,dam1,dam2,dam3,dam4,sex,generation,dob,litter.size,sevrage,dtc,n.females,n.males,n.sibs,n.cage,cage.id,cage.type,sire.present,multiple.dams,coat.color,d40,d50,d60,bw30,bw40,bw50,bw60,comments.x,age.sev,age.40,age.50,age.60,g1,g2,g3,pwg,dam1.age,dam2.age,dam3.age,dam4.age,dam.age,sac.date,sac.age,time,na,nt,femur,ecw,liver,spleen,kidney,heart,testis,gfp,rfp,mfp,ffp,brain,muscle,X1g_wt,comments.y,tail,tf
7055,B6.A-15 BC2,6764,6811,6835,=,=,M,BC2,2013-01-12,5,2013-02-11,2013-02-11,2,3,5,5,494,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,16.37,19.53,21.99,24.46,=,30,40,50,60,3.16,2.46,2.47,8.09,148,130,=,=,139,2013-03-13,60,09:48:00,93,174,14.6,10.09,1.185,0.063,0.265,0.107,0.171,0.303,0.048,0.164,0.249,0.408,0.165,=,=,81,0.764
7056,B6.A-15 BC2,6764,6811,6835,=,=,M,BC2,2013-01-12,5,2013-02-11,2013-02-11,2,3,5,5,494,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,15.96,19.38,22.87,25.17,=,30,40,50,60,3.42,3.49,2.3,9.21,148,130,=,=,139,2013-03-13,60,10:04:00,95,173,14.5,10.077,1.164,0.073,0.264,0.117,0.163,0.415,0.096,0.217,0.353,0.402,0.11,=,=,78,1.081
7057,B6.A-15 BC2,6764,6811,6835,=,=,M,BC2,2013-01-12,5,2013-02-11,2013-02-11,2,3,5,5,494,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,16.23,20.2,23.52,26.22,=,30,40,50,60,3.97,3.32,2.7,9.99,148,130,=,=,139,2013-03-13,60,10:20:30,94,174,14.55,10.669,1.231,0.074,0.273,0.114,0.174,0.41,0.07,0.209,0.325,0.408,0.143,=,=,80,1.014
7058,B6.A-15 BC2,6814,6831,=,=,=,M,BC2,2013-01-12,6,2013-02-11,2013-02-11,4,2,6,5,494,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,15.53,19.2,22.75,25.82,=,30,40,50,60,3.67,3.55,3.07,10.29,130,=,=,=,130,2013-03-13,60,10:36:00,93,175,14.65,9.971,1.278,0.073,0.255,0.115,0.172,0.344,0.064,0.177,0.284,0.419,0.165,=,=,82,0.869
7059,B6.A-15 BC2,6814,6831,=,=,=,M,BC2,2013-01-12,6,2013-02-11,2013-02-11,4,2,6,5,494,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,14.99,19.2,22.23,24.53,=,30,40,50,60,4.21,3.03,2.3,9.54,130,=,=,=,130,2013-03-13,60,10:53:00,92,169,14.55,10.101,1.085,0.074,0.251,0.11,0.15,0.23,0.052,0.148,0.258,0.397,0.145,=,=,77,0.688
7060,B6.A-17 BC2,6590,6826,6827,=,=,M,BC2,2013-01-12,11,2013-02-11,2013-02-11,4,7,11,5,495,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,13.94,18.46,21.15,23.69,=,30,40,50,60,4.52,2.69,2.54,9.75,130,130,=,=,130,2013-03-13,60,11:09:00,93,171,14.45,9.731,1.037,0.07,0.26,0.114,0.157,0.245,0.034,0.121,0.217,0.377,0.141,=,=,78,0.617
7061,B6.A-17 BC2,6590,6826,6827,=,=,M,BC2,2013-01-12,11,2013-02-11,2013-02-11,4,7,11,5,495,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,10.98,16.81,24.75,24.85,=,30,40,50,60,5.83,7.94,0.1,13.87,130,130,=,=,130,2013-03-13,60,11:26:00,94,175,14.3,9.71,1.166,0.071,0.284,0.11,0.168,0.237,0.035,0.117,0.22,0.395,0.144,=,=,81,0.609
7062,B6.A-17 BC2,6590,6826,6827,=,=,M,BC2,2013-01-12,11,2013-02-11,2013-02-11,4,7,11,5,495,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,15.67,19.8,21.74,23.53,=,30,40,50,60,4.13,1.94,1.79,7.86,130,130,=,=,130,2013-03-13,60,11:41:30,96,176,14.4,9.347,1.119,0.063,0.241,0.099,0.178,0.374,0.062,0.176,0.273,0.405,0.147,=,=,80,0.885
7063,B6.A-17 BC2,6590,6826,6827,=,=,M,BC2,2013-01-12,11,2013-02-11,2013-02-11,4,7,11,5,495,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,14.52,19.66,22.12,24.16,=,30,40,50,60,5.14,2.46,2.04,9.64,130,130,=,=,130,2013-03-13,60,11:56:00,92,177,14.5,9.738,1.005,0.064,0.243,0.1,0.181,0.36,0.066,0.157,0.304,0.386,0.133,=,=,85,0.887
7064,B6.A-17 BC2,6590,6826,6827,=,=,M,BC2,2013-01-12,11,2013-02-11,2013-02-11,4,7,11,5,495,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,13.76,17.05,19.77,21.28,=,30,40,50,60,3.29,2.72,1.51,7.52,130,130,=,=,130,2013-03-13,60,12:12:00,90,173,14,8.53,0.902,0.057,0.234,0.092,0.17,0.324,0.054,0.169,0.261,0.382,0.113,=,=,83,0.808
7065,B6.A-17 BC2,6590,6826,6827,=,=,M,BC2,2013-01-12,11,2013-02-11,2013-02-11,4,7,11,5,496,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,13.78,19.17,22.43,25.08,=,30,40,50,60,5.39,3.26,2.65,11.3,130,130,=,=,130,2013-03-13,60,12:28:00,93,180,14.7,10.339,1.142,0.068,0.264,0.113,0.168,0.345,0.062,0.211,0.276,0.408,0.161,=,=,87,0.894
7066,B6.A-17 BC2,6590,6826,6827,=,=,M,BC2,2013-01-12,11,2013-02-11,2013-02-11,4,7,11,5,496,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,15.03,19.84,23.13,25.86,=,30,40,50,60,4.81,3.29,2.73,10.83,130,130,=,=,130,2013-03-13,60,12:42:00,95,176,14.6,10.494,1.2,0.078,0.255,0.113,0.163,0.301,0.044,0.169,0.233,0.381,0.11,=,=,81,0.747
7067,B6.A-17 BC2,6716,6851,=,=,=,M,BC2,2013-01-12,2,2013-02-11,2013-02-11,1,1,2,5,496,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,16.98,21.71,23.83,26.95,=,30,40,50,60,4.73,2.12,3.12,9.97,115,=,=,=,115,2013-03-13,60,12:57:20,95,174,14.85,10.585,1.18,0.082,0.284,0.121,0.181,0.357,0.07,0.17,0.295,0.47,0.163,=,=,79,0.892
7068,B6.A-19 BC2,6581,6823,6813,=,=,M,BC2,2013-01-12,2,2013-02-11,2013-02-11,=,4,=,5,496,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,16.94,21.33,23.4,25.93,=,30,40,50,60,4.39,2.07,2.53,8.99,130,148,=,=,139,2013-03-13,60,14:30:00,92,176,14.85,10.407,1.131,0.068,0.278,0.118,0.179,0.335,0.059,0.193,0.255,0.381,0.162,=,=,84,0.842
7069,B6.A-19 BC2,6581,6823,6813,=,=,M,BC2,2013-01-12,2,2013-02-11,2013-02-11,=,4,=,5,496,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,17.39,21.82,23.42,25.85,=,30,40,50,60,4.43,1.6,2.43,8.46,130,148,=,=,139,2013-03-13,60,14:48:00,97,177,14.75,10.41,1.067,0.063,0.277,0.113,0.177,0.438,0.084,0.231,0.332,0.386,0.153,=,=,80,1.085
7070,B6.A-19 BC2,6581,6823,6813,=,=,M,BC2,2013-01-12,2,2013-02-11,2013-02-11,=,4,=,5,497,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,16.82,21.92,23.32,26.29,=,30,40,50,60,5.1,1.4,2.97,9.47,130,148,=,=,139,2013-03-13,60,15:04:00,93,175,14.65,10.549,1.187,0.077,0.286,0.111,0.185,0.314,0.058,0.215,0.279,0.379,0.167,=,=,82,0.866
7071,B6.A-19 BC2,6581,6823,6813,=,=,M,BC2,2013-01-12,2,2013-02-11,2013-02-11,=,4,=,5,497,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,18.13,22.51,24.49,28.17,=,30,40,50,60,4.38,1.98,3.68,10.04,130,148,=,=,139,2013-03-13,60,15:20:00,97,179,14.8,11.319,1.214,0.078,0.288,0.12,0.175,0.424,0.09,0.236,0.268,0.42,0.159,=,=,82,1.018
7072,B6.A-X BC1,6685,=,=,=,=,M,BC2,2013-01-12,14,2013-02-11,2013-02-11,7,7,14,5,497,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,17.64,20.95,21.59,24.08,=,30,40,50,60,3.31,0.64,2.49,6.44,91,130,115,=,112,2013-03-13,60,15:36:00,92,176,14.6,9.664,0.958,0.058,0.259,0.1,0.189,0.388,0.081,0.206,0.297,0.393,0.16,=,=,84,0.972
7073,B6.A-X BC1,6685,=,=,=,=,M,BC2,2013-01-12,14,2013-02-11,2013-02-11,7,7,14,5,497,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,18.89,21.42,22.44,25.07,=,30,40,50,60,2.53,1.02,2.63,6.18,91,130,115,=,112,2013-03-13,60,15:57:00,92,180,14.6,9.986,1.084,0.07,0.26,0.106,0.155,0.341,0.072,0.206,0.302,0.394,0.17,=,=,88,0.921
7074,B6.A-X BC1,6685,=,=,=,=,M,BC2,2013-01-12,14,2013-02-11,2013-02-11,7,7,14,5,497,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,17.13,20.09,21.74,24.57,=,30,40,50,60,2.96,1.65,2.83,7.44,91,130,115,=,112,2013-03-13,60,16:13:00,94,179,=,9.512,0.999,0.066,0.254,0.104,0.231,0.329,0.056,0.173,0.27,0.419,0.174,=,=,85,0.828
7075,B6.A-X BC1,6685,=,=,=,=,M,BC2,2013-01-12,14,2013-02-11,2013-02-11,7,7,14,4,498,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,17.02,20,21.43,23.19,=,30,40,50,60,2.98,1.43,1.76,6.17,91,130,115,=,112,2013-03-13,60,16:29:00,95,178,14.45,9.559,0.912,0.053,0.247,0.092,0.172,0.319,0.063,0.229,0.292,0.397,0.155,=,=,83,0.903
