id,strain,sire,dam1,dam2,dam3,dam4,sex,generation,dob,litter.size,sevrage,dtc,n.females,n.males,n.sibs,n.cage,cage.id,cage.type,sire.present,multiple.dams,coat.color,d40,d50,d60,bw30,bw40,bw50,bw60,comments.x,age.sev,age.40,age.50,age.60,g1,g2,g3,pwg,dam1.age,dam2.age,dam3.age,dam4.age,dam.age,sac.date,sac.age,time,na,nt,femur,ecw,liver,spleen,kidney,heart,testis,gfp,rfp,mfp,ffp,brain,muscle,X1g_wt,comments.y,tail,tf
401,B6.A-17 BC1,4931,4944,4945,4959,=,M,BC1,2011-12-26,23,2012-01-27,2012-01-27,11,12,23,6,190,S,1,1,B,2012-02-04,2012-02-14,2012-02-24,14.4,19.36,23,25.38,D30+2,32,40,50,60,4.96,3.64,2.38,10.98,79,79,76,=,78,2012-02-25,61,16:29:00,95,174,14.65,10.493,1.157,0.066,0.283,0.11,0.158,0.267,0.053,0.152,0.223,0.393,0.128,0.999,Scale changed.  1 g weight = .999 g,79,0.695
402,B6.A-17 BC1,4931,4944,4945,4959,=,M,BC1,2011-12-26,23,2012-01-27,2012-01-27,11,12,23,6,190,S,1,1,B,2012-02-04,2012-02-14,2012-02-24,14.28,19.09,20.76,22.04,D30+2,32,40,50,60,4.81,1.67,1.28,7.76,79,79,76,=,78,2012-02-25,61,16:56:00,87,171,14.4,8.961,0.94,0.052,0.264,0.096,0.133,0.32,0.07,0.196,0.337,0.409,0.128,0.999,Scale changed.  1 g weight = .999 g,84,0.923
403,B6.A-17 BC1,4931,4944,4945,4959,=,M,BC1,2011-12-26,23,2012-01-27,2012-01-27,11,12,23,6,190,S,1,1,B,2012-02-04,2012-02-14,2012-02-24,15.93,20.01,22.81,24.63,D30+2,32,40,50,60,4.08,2.8,1.82,8.7,79,79,76,=,78,2012-02-25,61,17:11:00,93,180,14.85,10.88,0.987,0.06,0.276,0.105,0.183,0.263,0.048,0.155,0.239,0.41,0.165,0.999,Scale changed.  1 g weight = .999 g,87,0.705
404,B6.A-17 BC1,4931,4944,4945,4959,=,M,BC1,2011-12-26,23,2012-01-27,2012-01-27,11,12,23,6,190,S,1,1,B,2012-02-04,2012-02-14,2012-02-24,14.27,19.35,22.6,24.28,D30+2,32,40,50,60,5.08,3.25,1.68,10.01,79,79,76,=,78,2012-02-25,61,17:28:00,93,176,14.78,10.247,1.101,0.065,0.264,0.108,0.18,0.294,0.054,0.175,0.261,0.4,0.172,0.999,Scale changed.  1 g weight = .999 g,83,0.784
405,B6.A-17 BC1,4931,4944,4945,4959,=,M,BC1,2011-12-26,23,2012-01-27,2012-01-27,11,12,23,6,190,S,1,1,B,2012-02-04,2012-02-14,2012-02-24,14.72,20.15,23.54,25.62,D30+2,32,40,50,60,5.43,3.39,2.08,10.9,79,79,76,=,78,2012-02-25,61,17:43:00,94,177,14.85,10.458,1.039,0.068,0.266,0.112,0.177,0.287,0.05,0.189,0.205,0.396,0.153,0.999,Scale changed.  1 g weight = .999 g,83,0.731
406,B6.A-17 BC1,4931,4944,4945,4959,=,M,BC1,2011-12-26,23,2012-01-27,2012-01-27,11,12,23,6,190,S,1,1,B,2012-02-04,2012-02-14,2012-02-24,13.66,18.46,22.12,25.15,D30+2,32,40,50,60,4.8,3.66,3.03,11.49,79,79,76,=,78,2012-02-25,61,18:00:00,94,176,14.6,9.742,0.995,0.068,0.269,0.11,0.159,0.309,0.071,0.165,0.284,0.391,0.151,0.999,Scale changed.  1 g weight = .999 g,82,0.829
407,B6.A-17 BC1,4931,4944,4945,4959,=,M,BC1,2011-12-26,23,2012-01-27,2012-01-27,11,12,23,6,190,S,1,1,B,2012-02-04,2012-02-14,2012-02-24,13.33,18.7,21.55,20.63,D30+2,32,40,50,60,5.37,2.85,-0.92,7.3,79,79,76,=,78,2012-02-25,61,18:15:00,94,176,14.7,9.882,1.034,0.07,0.239,0.106,0.162,0.25,0.043,0.159,0.234,0.386,0.156,0.999,Scale changed.  1 g weight = .999 g,82,0.686
408,B6.A-17 BC1,4931,4944,4945,4959,=,M,BC1,2011-12-26,23,2012-01-27,2012-01-27,11,12,23,6,190,S,1,1,B,2012-02-04,2012-02-14,2012-02-24,14.68,18.26,20.53,21.93,D30+2,32,40,50,60,3.58,2.27,1.4,7.25,79,79,76,=,78,2012-02-25,61,18:30:00,87,173,14.2,8.633,0.898,0.056,0.216,0.091,0.16,0.338,0.076,0.173,0.321,0.385,0.142,0.999,Scale changed.  1 g weight = .999 g,86,0.908
409,B6.A-17 BC1,4931,4944,4945,4959,=,M,BC1,2011-12-26,23,2012-01-27,2012-01-27,11,12,23,6,190,S,1,1,B,2012-02-04,2012-02-14,2012-02-24,19.68,20.56,21.54,22.8,D30+2,32,40,50,60,0.88,0.98,1.26,3.12,79,79,76,=,78,2012-02-26,62,16:55:00,91,175,14.55,9.3,0.979,0.053,0.269,0.104,0.182,0.399,0.086,0.217,0.324,0.403,0.153,0.999,Scale changed.  1 g weight = .999 g,84,1.026
410,B6.A-17 BC1,4931,4944,4945,4959,=,M,BC1,2011-12-26,23,2012-01-27,2012-01-27,11,12,23,6,190,S,1,1,B,2012-02-04,2012-02-14,2012-02-24,12.6,18.29,22.14,24.12,D30+2,32,40,50,60,5.69,3.85,1.98,11.52,79,79,76,=,78,2012-02-26,62,17:16:00,93,176,14.55,9.894,0.991,0.067,0.271,0.103,0.167,0.254,0.04,0.14,0.187,0.387,0.122,0.999,Scale changed.  1 g weight = .999 g,83,0.621
