id	strain	ok	call.rate	sex
114	B6.A-15 BC1	231	0.9545	F
122	B6.A-15 BC1	231	0.9545	F
228	B6.A-15 BC1	234	0.9669	M
257	B6.A-15 BC1	207	0.8554	F
259	B6.A-15 BC1	230	0.9504	F
292	B6.A-15 BC1	235	0.9711	M
295	B6.A-15 BC1	235	0.9711	M
320	B6.A-15 BC1	230	0.9504	F
323	B6.A-15 BC1	232	0.9587	M
325	B6.A-15 BC1	238	0.9835	M
326	B6.A-15 BC1	237	0.9793	M
332	B6.A-15 BC1	228	0.9421	F
333	B6.A-15 BC1	233	0.9628	M
356	B6.A-15 BC1	235	0.9711	M
420	B6.A-15 BC1	234	0.9669	F
421	B6.A-15 BC1	236	0.9752	F
422	B6.A-15 BC1	236	0.9752	M
467	B6.A-15 BC1	236	0.9752	M
469	B6.A-15 BC1	235	0.9711	F
492	B6.A-15 BC1	233	0.9628	F
510	B6.A-15 BC1	237	0.9793	M
512	B6.A-15 BC1	236	0.9752	M
513	B6.A-15 BC1	238	0.9835	M
515	B6.A-15 BC1	239	0.9876	M
556	B6.A-15 BC1	237	0.9793	M
558	B6.A-15 BC1	235	0.9711	F
620	B6.A-15 BC1	236	0.9752	M
623	B6.A-15 BC1	237	0.9793	M
719	B6.A-15 BC1	231	0.9545	F
720	B6.A-15 BC1	228	0.9421	F
721	B6.A-15 BC1	233	0.9628	M
722	B6.A-15 BC1	238	0.9835	M
723	B6.A-15 BC1	235	0.9711	M
724	B6.A-15 BC1	230	0.9504	F
792	B6.A-15 BC1	231	0.9545	F
794	B6.A-15 BC1	235	0.9711	M
848	B6.A-15 BC1	238	0.9835	M
855	B6.A-15 BC1	233	0.9628	F
863	B6.A-15 BC1	233	0.9628	F
870	B6.A-15 BC1	234	0.9669	F
872	B6.A-15 BC1	237	0.9793	M
873	B6.A-15 BC1	238	0.9835	M
877	B6.A-15 BC1	231	0.9545	F
878	B6.A-15 BC1	234	0.9669	F
879	B6.A-15 BC1	233	0.9628	F
884	B6.A-15 BC1	235	0.9711	M
381	B6.A-15 BC1	234	0.9669	F
387	B6.A-15 BC1	235	0.9711	F
815	B6.A-15 BC1	233	0.9628	F
844	B6.A-15 BC1	239	0.9876	M
124	B6.A-15 BC1	229	0.9463	F
813	B6.A-15 BC1	230	0.9504	M
261	B6.A-15 BC1	231	0.9545	F
318	B6.A-15 BC1	234	0.9669	F
621	B6.A-15 BC1	232	0.9587	F
627	B6.A-15 BC1	238	0.9835	M
824	B6.A-15 BC1	235	0.9711	F
327	B6.A-15 BC1	235	0.9711	M
418	B6.A-15 BC1	233	0.9628	F
852	B6.A-15 BC1	233	0.9628	F
880	B6.A-15 BC1	235	0.9711	F
324	B6.A-15 BC1	231	0.9545	M
329	B6.A-15 BC1	231	0.9545	F
626	B6.A-15 BC1	235	0.9711	M
293	B6.A-15 BC1	223	0.9215	M
389	B6.A-15 BC1	232	0.9587	F
791	B6.A-15 BC1	231	0.9545	F
845	B6.A-15 BC1	234	0.9669	F
385	B6.A-15 BC1	234	0.9669	M
291	B6.A-15 BC1	231	0.9545	F
559	B6.A-15 BC1	238	0.9835	M
441	B6.A-15 BC1	205	0.8471	F
876	B6.A-15 BC1	231	0.9545	F
113	B6.A-15 BC1	230	0.9504	F
417	B6.A-15 BC1	235	0.9711	M
382	B6.A-15 BC1	237	0.9793	M
511	B6.A-15 BC1	237	0.9793	M
869	B6.A-15 BC1	187	0.7727	F
119	B6.A-15 BC1	236	0.9752	M
115	B6.A-15 BC1	230	0.9504	F
112	B6.A-15 BC1	230	0.9504	F
328	B6.A-15 BC1	231	0.9545	F
468	B6.A-15 BC1	239	0.9876	M
