id	strain	ok	call.rate
101	B6	232	0.9587
102	B6	231	0.9545
103	B6	232	0.9587
104	B6	231	0.9545
105	B6	235	0.9711
106	B6	230	0.9504
107	B6	234	0.9669
108	B6	236	0.9752
162	B6	233	0.9628
163	B6	236	0.9752
164	B6	234	0.9669
165	B6	235	0.9711
114	B6.A-15 BC1	231	0.9545
122	B6.A-15 BC1	231	0.9545
228	B6.A-15 BC1	234	0.9669
257	B6.A-15 BC1	207	0.8554
259	B6.A-15 BC1	230	0.9504
292	B6.A-15 BC1	235	0.9711
295	B6.A-15 BC1	235	0.9711
320	B6.A-15 BC1	230	0.9504
323	B6.A-15 BC1	232	0.9587
325	B6.A-15 BC1	238	0.9835
326	B6.A-15 BC1	237	0.9793
332	B6.A-15 BC1	228	0.9421
333	B6.A-15 BC1	233	0.9628
356	B6.A-15 BC1	235	0.9711
420	B6.A-15 BC1	234	0.9669
421	B6.A-15 BC1	236	0.9752
422	B6.A-15 BC1	236	0.9752
467	B6.A-15 BC1	236	0.9752
469	B6.A-15 BC1	235	0.9711
492	B6.A-15 BC1	233	0.9628
510	B6.A-15 BC1	237	0.9793
512	B6.A-15 BC1	236	0.9752
513	B6.A-15 BC1	238	0.9835
515	B6.A-15 BC1	239	0.9876
556	B6.A-15 BC1	237	0.9793
558	B6.A-15 BC1	235	0.9711
620	B6.A-15 BC1	236	0.9752
623	B6.A-15 BC1	237	0.9793
719	B6.A-15 BC1	231	0.9545
720	B6.A-15 BC1	228	0.9421
721	B6.A-15 BC1	233	0.9628
722	B6.A-15 BC1	238	0.9835
723	B6.A-15 BC1	235	0.9711
724	B6.A-15 BC1	230	0.9504
792	B6.A-15 BC1	231	0.9545
794	B6.A-15 BC1	235	0.9711
848	B6.A-15 BC1	238	0.9835
855	B6.A-15 BC1	233	0.9628
863	B6.A-15 BC1	233	0.9628
870	B6.A-15 BC1	234	0.9669
872	B6.A-15 BC1	237	0.9793
873	B6.A-15 BC1	238	0.9835
877	B6.A-15 BC1	231	0.9545
878	B6.A-15 BC1	234	0.9669
879	B6.A-15 BC1	233	0.9628
884	B6.A-15 BC1	235	0.9711
381	B6.A-15 BC1	234	0.9669
387	B6.A-15 BC1	235	0.9711
815	B6.A-15 BC1	233	0.9628
844	B6.A-15 BC1	239	0.9876
125	B6.A-17 BC1	230	0.9504
177	B6.A-17 BC1	233	0.9628
178	B6.A-17 BC1	232	0.9587
299	B6.A-17 BC1	234	0.9669
424	B6.A-17 BC1	234	0.9669
426	B6.A-17 BC1	239	0.9876
429	B6.A-17 BC1	194	0.8017
430	B6.A-17 BC1	224	0.9256
431	B6.A-17 BC1	234	0.9669
741	B6.A-17 BC1	238	0.9835
761	B6.A-17 BC1	236	0.9752
763	B6.A-17 BC1	234	0.9669
806	B6.A-17 BC1	237	0.9793
242	B6.A-17 BC1	235	0.9711
126	B6.A-17 BC1	230	0.9504
131	B6.A-17 BC1	231	0.9545
138	B6.A-17 BC1	231	0.9545
142	B6.A-17 BC1	236	0.9752
160	B6.A-17 BC1	233	0.9628
195	B6.A-17 BC1	234	0.9669
200	B6.A-17 BC1	228	0.9421
223	B6.A-17 BC1	231	0.9545
297	B6.A-17 BC1	232	0.9587
398	B6.A-17 BC1	235	0.9711
402	B6.A-17 BC1	237	0.9793
427	B6.A-17 BC1	236	0.9752
472	B6.A-17 BC1	233	0.9628
473	B6.A-17 BC1	236	0.9752
485	B6.A-17 BC1	237	0.9793
486	B6.A-17 BC1	233	0.9628
488	B6.A-17 BC1	234	0.9669
525	B6.A-17 BC1	233	0.9628
577	B6.A-17 BC1	237	0.9793
578	B6.A-17 BC1	231	0.9545
582	B6.A-17 BC1	232	0.9587
682	B6.A-17 BC1	228	0.9421
683	B6.A-17 BC1	232	0.9587
685	B6.A-17 BC1	232	0.9587
737	B6.A-17 BC1	234	0.9669
764	B6.A-17 BC1	236	0.9752
780	B6.A-17 BC1	230	0.9504
809	B6.A-17 BC1	236	0.9752
140	B6.A-17 BC1	233	0.9628
154	B6.A-17 BC1	229	0.9463
158	B6.A-17 BC1	229	0.9463
175	B6.A-17 BC1	230	0.9504
182	B6.A-17 BC1	235	0.9711
212	B6.A-17 BC1	235	0.9711
218	B6.A-17 BC1	235	0.9711
397	B6.A-17 BC1	233	0.9628
489	B6.A-17 BC1	233	0.9628
765	B6.A-17 BC1	226	0.9339
151	B6.A-19 BC1	226	0.9339
152	B6.A-19 BC1	232	0.9587
185	B6.A-19 BC1	230	0.9504
