id	strain	ok	call.rate
109	B6.A-15 BC1	230	0.9504
111	B6.A-15 BC1	235	0.9711
116	B6.A-15 BC1	234	0.9669
117	B6.A-15 BC1	228	0.9421
120	B6.A-15 BC1	231	0.9545
224	B6.A-15 BC1	236	0.9752
227	B6.A-15 BC1	228	0.9421
229	B6.A-15 BC1	236	0.9752
260	B6.A-15 BC1	233	0.9628
263	B6.A-15 BC1	219	0.905
294	B6.A-15 BC1	227	0.938
317	B6.A-15 BC1	235	0.9711
319	B6.A-15 BC1	235	0.9711
322	B6.A-15 BC1	235	0.9711
330	B6.A-15 BC1	237	0.9793
331	B6.A-15 BC1	232	0.9587
350	B6.A-15 BC1	234	0.9669
352	B6.A-15 BC1	237	0.9793
439	B6.A-15 BC1	222	0.9174
443	B6.A-15 BC1	231	0.9545
445	B6.A-15 BC1	234	0.9669
464	B6.A-15 BC1	236	0.9752
465	B6.A-15 BC1	234	0.9669
466	B6.A-15 BC1	236	0.9752
508	B6.A-15 BC1	214	0.8843
552	B6.A-15 BC1	238	0.9835
553	B6.A-15 BC1	235	0.9711
554	B6.A-15 BC1	234	0.9669
555	B6.A-15 BC1	234	0.9669
608	B6.A-15 BC1	235	0.9711
610	B6.A-15 BC1	239	0.9876
612	B6.A-15 BC1	142	0.5868
628	B6.A-15 BC1	237	0.9793
789	B6.A-15 BC1	234	0.9669
790	B6.A-15 BC1	233	0.9628
793	B6.A-15 BC1	234	0.9669
795	B6.A-15 BC1	231	0.9545
850	B6.A-15 BC1	231	0.9545
851	B6.A-15 BC1	230	0.9504
853	B6.A-15 BC1	229	0.9463
864	B6.A-15 BC1	236	0.9752
867	B6.A-15 BC1	183	0.7562
874	B6.A-15 BC1	226	0.9339
883	B6.A-15 BC1	236	0.9752
386	B6.A-15 BC1	238	0.9835
388	B6.A-15 BC1	236	0.9752
810	B6.A-15 BC1	237	0.9793
814	B6.A-15 BC1	232	0.9587
818	B6.A-15 BC1	236	0.9752
821	B6.A-15 BC1	232	0.9587
825	B6.A-15 BC1	234	0.9669
842	B6.A-15 BC1	223	0.9215
846	B6.A-15 BC1	233	0.9628
847	B6.A-15 BC1	231	0.9545
526	B6.A-17 BC1	191	0.7893
359	B6.A-17 BC1	233	0.9628
686	B6.A-17 BC1	231	0.9545
728	B6.A-17 BC1	232	0.9587
244	B6.A-17 BC1	235	0.9711
183	B6.A-17 BC1	233	0.9628
300	B6.A-17 BC1	232	0.9587
302	B6.A-17 BC1	232	0.9587
141	B6.A-17 BC1	234	0.9669
206	B6.A-17 BC1	234	0.9669
211	B6.A-17 BC1	234	0.9669
217	B6.A-17 BC1	235	0.9711
365	B6.A-17 BC1	230	0.9504
448	B6.A-17 BC1	238	0.9835
449	B6.A-17 BC1	233	0.9628
470	B6.A-17 BC1	234	0.9669
740	B6.A-17 BC1	230	0.9504
760	B6.A-17 BC1	233	0.9628
775	B6.A-17 BC1	236	0.9752
779	B6.A-17 BC1	236	0.9752
805	B6.A-17 BC1	234	0.9669
241	B6.A-17 BC1	237	0.9793
592	B6.A-17 BC1	238	0.9835
201	B6.A-17 BC1	233	0.9628
487	B6.A-17 BC1	235	0.9711
583	B6.A-17 BC1	234	0.9669
726	B6.A-17 BC1	229	0.9463
808	B6.A-17 BC1	235	0.9711
127	B6.A-17 BC1	235	0.9711
181	B6.A-17 BC1	234	0.9669
220	B6.A-17 BC1	234	0.9669
401	B6.A-17 BC1	238	0.9835
597	B6.A-17 BC1	232	0.9587
207	B6.A-17 BC1	234	0.9669
209	B6.A-17 BC1	233	0.9628
527	B6.A-17 BC1	234	0.9669
580	B6.A-17 BC1	231	0.9545
581	B6.A-17 BC1	239	0.9876
777	B6.A-17 BC1	234	0.9669
216	B6.A-17 BC1	233	0.9628
471	B6.A-17 BC1	228	0.9421
776	B6.A-17 BC1	235	0.9711
270	B6.A-17 BC1	233	0.9628
766	B6.A-17 BC1	229	0.9463
194	B6.A-17 BC1	235	0.9711
403	B6.A-17 BC1	234	0.9669
375	B6.A-17 BC1	14	0.0579
377	B6.A-17 BC1	21	0.0868
379	B6.A-17 BC1	37	0.1529
143	B6.A-19 BC1	232	0.9587
145	B6.A-19 BC1	234	0.9669
148	B6.A-19 BC1	234	0.9669
150	B6.A-19 BC1	231	0.9545
184	B6.A-19 BC1	229	0.9463
187	B6.A-19 BC1	234	0.9669
193	B6.A-19 BC1	235	0.9711
236	B6.A-19 BC1	233	0.9628
280	B6.A-19 BC1	234	0.9669
286	B6.A-19 BC1	233	0.9628
287	B6.A-19 BC1	190	0.7851
288	B6.A-19 BC1	233	0.9628
340	B6.A-19 BC1	234	0.9669
348	B6.A-19 BC1	235	0.9711
405	B6.A-19 BC1	233	0.9628
415	B6.A-19 BC1	232	0.9587
416	B6.A-19 BC1	233	0.9628
457	B6.A-19 BC1	233	0.9628
460	B6.A-19 BC1	234	0.9669
516	B6.A-19 BC1	233	0.9628
521	B6.A-19 BC1	236	0.9752
530	B6.A-19 BC1	233	0.9628
531	B6.A-19 BC1	236	0.9752
534	B6.A-19 BC1	234	0.9669
539	B6.A-19 BC1	235	0.9711
545	B6.A-19 BC1	234	0.9669
546	B6.A-19 BC1	237	0.9793
547	B6.A-19 BC1	238	0.9835
548	B6.A-19 BC1	234	0.9669
584	B6.A-19 BC1	234	0.9669
587	B6.A-19 BC1	233	0.9628
590	B6.A-19 BC1	235	0.9711
605	B6.A-19 BC1	234	0.9669
650	B6.A-19 BC1	237	0.9793
651	B6.A-19 BC1	238	0.9835
653	B6.A-19 BC1	234	0.9669
658	B6.A-19 BC1	234	0.9669
681	B6.A-19 BC1	228	0.9421
782	B6.A-19 BC1	232	0.9587
785	B6.A-19 BC1	236	0.9752
786	B6.A-19 BC1	233	0.9628
272	B6.A-19 BC1	235	0.9711
275	B6.A-19 BC1	221	0.9132
751	B6.A-19 BC1	234	0.9669
752	B6.A-19 BC1	235	0.9711
753	B6.A-19 BC1	231	0.9545
754	B6.A-19 BC1	231	0.9545
755	B6.A-19 BC1	232	0.9587
756	B6.A-19 BC1	235	0.9711
757	B6.A-19 BC1	238	0.9835
859	B6.A-19 BC1	236	0.9752
862	B6.A-19 BC1	232	0.9587
