id,strain,sire,dam,date.crossed,date.plug,sac,embryo.age,right.horn,left.horn,dead,horn,order,tod,placenta,embryo.wt,sex,non.recombinant.genotype,n.markers.ok,genotype.call.rate,comments
1,B6.A-15 BC1,4909,6636,2012-09-18,2012-09-19,2012-10-01,-,-,-,-,-,1,-,-,-,-,-,-,-,embryos did not appear 13d
2,B6.A-15 BC1,4909,6636,2012-09-18,2012-09-19,2012-10-01,-,-,-,-,-,2,-,-,-,-,-,-,-,
3,B6.A-19 BC1,5024,6563,2012-09-18,2012-09-19,2012-10-01,13,-,-,-,-,1,-,0.094,0.103,-,-,-,-,
4,B6.A-19 BC1,5024,6563,2012-09-18,2012-09-19,2012-10-01,13,-,-,-,-,2,-,0.118,0.112,-,-,-,-,
5,B6.A-19 BC1,5024,6563,2012-09-18,2012-09-19,2012-10-01,13,-,-,-,-,3,-,0.106,0.134,-,-,-,-,
6,B6.A-19 BC1,5024,6563,2012-09-18,2012-09-19,2012-10-01,13,-,-,-,-,4,-,0.092,0.107,-,-,-,-,
7,B6.A-19 BC1,5024,6563,2012-09-18,2012-09-19,2012-10-01,13,-,-,-,-,5,-,0.11,0.112,-,-,-,-,
8,B6.A-19 BC1,5024,6563,2012-09-18,2012-09-19,2012-10-01,13,-,-,-,-,6,-,0.109,0.123,-,-,-,-,
9,B6.A-19 BC1,5024,6563,2012-09-18,2012-09-19,2012-10-01,13,-,-,-,-,7,-,0.092,0.128,-,-,-,-,
10,B6.A-19 BC1,5024,6563,2012-09-18,2012-09-19,2012-10-01,13,-,-,-,-,8,-,0.07,0.111,-,-,-,-,
11,B6.A-19 BC1,5024,6563,2012-09-18,2012-09-19,2012-10-01,13,-,-,-,-,9,-,0.088,0.125,-,-,-,-,
12,B6.A-19 BC1,5024,6563,2012-09-18,2012-09-19,2012-10-01,13,-,-,-,-,10,-,0.08,0.12,-,-,-,-,
13,B6.A-19 BC1,4968,6635,2012-09-18,2012-09-19,2012-10-01,13,-,-,-,-,1,-,0.08,0.07,-,-,-,-,
