id	strain	ok	call.rate
124	B6.A-15 BC1	229	0.9463
813	B6.A-15 BC1	230	0.9504
261	B6.A-15 BC1	231	0.9545
318	B6.A-15 BC1	234	0.9669
621	B6.A-15 BC1	232	0.9587
627	B6.A-15 BC1	238	0.9835
824	B6.A-15 BC1	235	0.9711
327	B6.A-15 BC1	235	0.9711
418	B6.A-15 BC1	233	0.9628
852	B6.A-15 BC1	233	0.9628
880	B6.A-15 BC1	235	0.9711
324	B6.A-15 BC1	231	0.9545
329	B6.A-15 BC1	231	0.9545
626	B6.A-15 BC1	235	0.9711
293	B6.A-15 BC1	223	0.9215
389	B6.A-15 BC1	232	0.9587
791	B6.A-15 BC1	231	0.9545
845	B6.A-15 BC1	234	0.9669
385	B6.A-15 BC1	234	0.9669
291	B6.A-15 BC1	231	0.9545
559	B6.A-15 BC1	238	0.9835
441	B6.A-15 BC1	205	0.8471
876	B6.A-15 BC1	231	0.9545
113	B6.A-15 BC1	230	0.9504
417	B6.A-15 BC1	235	0.9711
382	B6.A-15 BC1	237	0.9793
511	B6.A-15 BC1	237	0.9793
869	B6.A-15 BC1	187	0.7727
119	B6.A-15 BC1	236	0.9752
115	B6.A-15 BC1	230	0.9504
112	B6.A-15 BC1	230	0.9504
328	B6.A-15 BC1	231	0.9545
468	B6.A-15 BC1	239	0.9876
866	B6.A-15 BC1	236	0.9752
256	B6.A-15 BC1	236	0.9752
321	B6.A-15 BC1	233	0.9628
622	B6.A-15 BC1	234	0.9669
463	B6.A-15 BC1	238	0.9835
349	B6.A-15 BC1	233	0.9628
514	B6.A-15 BC1	227	0.938
226	B6.A-15 BC1	235	0.9711
123	B6.A-15 BC1	228	0.9421
493	B6.A-15 BC1	234	0.9669
875	B6.A-15 BC1	228	0.9421
262	B6.A-15 BC1	236	0.9752
811	B6.A-15 BC1	193	0.7975
820	B6.A-15 BC1	231	0.9545
121	B6.A-15 BC1	231	0.9545
816	B6.A-15 BC1	231	0.9545
843	B6.A-15 BC1	232	0.9587
442	B6.A-15 BC1	225	0.9298
812	B6.A-15 BC1	234	0.9669
871	B6.A-15 BC1	232	0.9587
854	B6.A-15 BC1	231	0.9545
118	B6.A-15 BC1	233	0.9628
823	B6.A-15 BC1	236	0.9752
423	B6.A-15 BC1	236	0.9752
822	B6.A-15 BC1	232	0.9587
258	B6.A-15 BC1	231	0.9545
444	B6.A-15 BC1	236	0.9752
611	B6.A-15 BC1	236	0.9752
819	B6.A-15 BC1	232	0.9587
419	B6.A-15 BC1	233	0.9628
849	B6.A-15 BC1	231	0.9545
882	B6.A-15 BC1	238	0.9835
230	B6.A-15 BC1	231	0.9545
355	B6.A-15 BC1	232	0.9587
290	B6.A-15 BC1	231	0.9545
383	B6.A-15 BC1	236	0.9752
881	B6.A-15 BC1	231	0.9545
607	B6.A-15 BC1	234	0.9669
865	B6.A-15 BC1	229	0.9463
384	B6.A-15 BC1	236	0.9752
351	B6.A-15 BC1	232	0.9587
557	B6.A-15 BC1	235	0.9711
609	B6.A-15 BC1	237	0.9793
354	B6.A-15 BC1	224	0.9256
110	B6.A-15 BC1	224	0.9256
796	B6.A-15 BC1	237	0.9793
231	B6.A-15 BC1	232	0.9587
357	B6.A-15 BC1	236	0.9752
491	B6.A-15 BC1	239	0.9876
817	B6.A-15 BC1	238	0.9835
440	B6.A-15 BC1	232	0.9587
509	B6.A-15 BC1	233	0.9628
225	B6.A-15 BC1	234	0.9669
625	B6.A-15 BC1	235	0.9711
289	B6.A-15 BC1	235	0.9711
353	B6.A-15 BC1	235	0.9711
624	B6.A-15 BC1	236	0.9752
868	B6.A-15 BC1	231	0.9545
447	B6.A-17 BC1	151	0.624
425	B6.A-17 BC1	237	0.9793
298	B6.A-17 BC1	232	0.9587
803	B6.A-17 BC1	233	0.9628
362	B6.A-17 BC1	236	0.9752
528	B6.A-17 BC1	236	0.9752
598	B6.A-17 BC1	236	0.9752
266	B6.A-17 BC1	229	0.9463
781	B6.A-17 BC1	230	0.9504
490	B6.A-17 BC1	238	0.9835
599	B6.A-17 BC1	235	0.9711
213	B6.A-17 BC1	237	0.9793
265	B6.A-17 BC1	235	0.9711
267	B6.A-17 BC1	235	0.9711
524	B6.A-17 BC1	237	0.9793
807	B6.A-17 BC1	232	0.9587
196	B6.A-17 BC1	231	0.9545
363	B6.A-17 BC1	235	0.9711
428	B6.A-17 BC1	233	0.9628
450	B6.A-17 BC1	233	0.9628
452	B6.A-17 BC1	237	0.9793
529	B6.A-17 BC1	237	0.9793
137	B6.A-17 BC1	234	0.9669
214	B6.A-17 BC1	239	0.9876
271	B6.A-17 BC1	234	0.9669
245	B6.A-17 BC1	203	0.8388
268	B6.A-17 BC1	236	0.9752
204	B6.A-17 BC1	231	0.9545
139	B6.A-17 BC1	226	0.9339
591	B6.A-17 BC1	231	0.9545
198	B6.A-17 BC1	228	0.9421
361	B6.A-17 BC1	233	0.9628
727	B6.A-17 BC1	234	0.9669
176	B6.A-17 BC1	235	0.9711
593	B6.A-17 BC1	236	0.9752
475	B6.A-17 BC1	233	0.9628
129	B6.A-17 BC1	232	0.9587
156	B6.A-17 BC1	230	0.9504
595	B6.A-17 BC1	235	0.9711
451	B6.A-17 BC1	236	0.9752
222	B6.A-17 BC1	234	0.9669
247	B6.A-17 BC1	235	0.9711
153	B6.A-17 BC1	231	0.9545
133	B6.A-17 BC1	233	0.9628
453	B6.A-17 BC1	237	0.9793
804	B6.A-17 BC1	232	0.9587
360	B6.A-17 BC1	231	0.9545
596	B6.A-17 BC1	232	0.9587
576	B6.A-17 BC1	238	0.9835
759	B6.A-17 BC1	234	0.9669
725	B6.A-17 BC1	229	0.9463
210	B6.A-17 BC1	234	0.9669
742	B6.A-17 BC1	238	0.9835
136	B6.A-17 BC1	230	0.9504
301	B6.A-17 BC1	229	0.9463
476	B6.A-17 BC1	234	0.9669
778	B6.A-17 BC1	231	0.9545
199	B6.A-17 BC1	236	0.9752
579	B6.A-17 BC1	233	0.9628
239	B6.A-17 BC1	232	0.9587
523	B6.A-17 BC1	233	0.9628
243	B6.A-17 BC1	233	0.9628
739	B6.A-17 BC1	234	0.9669
687	B6.A-17 BC1	231	0.9545
269	B6.A-17 BC1	213	0.8802
157	B6.A-17 BC1	235	0.9711
219	B6.A-17 BC1	234	0.9669
729	B6.A-17 BC1	237	0.9793
215	B6.A-17 BC1	227	0.938
399	B6.A-17 BC1	233	0.9628
205	B6.A-17 BC1	229	0.9463
128	B6.A-17 BC1	234	0.9669
132	B6.A-17 BC1	233	0.9628
758	B6.A-17 BC1	234	0.9669
264	B6.A-17 BC1	235	0.9711
802	B6.A-17 BC1	185	0.7645
180	B6.A-17 BC1	232	0.9587
296	B6.A-17 BC1	236	0.9752
688	B6.A-17 BC1	232	0.9587
358	B6.A-17 BC1	235	0.9711
155	B6.A-17 BC1	235	0.9711
380	B6.A-17 BC1	233	0.9628
594	B6.A-17 BC1	232	0.9587
179	B6.A-17 BC1	234	0.9669
240	B6.A-17 BC1	234	0.9669
159	B6.A-17 BC1	233	0.9628
446	B6.A-17 BC1	234	0.9669
161	B6.A-17 BC1	230	0.9504
378	B6.A-17 BC1	178	0.7355
738	B6.A-17 BC1	237	0.9793
762	B6.A-17 BC1	230	0.9504
134	B6.A-17 BC1	231	0.9545
202	B6.A-17 BC1	234	0.9669
400	B6.A-17 BC1	232	0.9587
376	B6.A-17 BC1	232	0.9587
130	B6.A-17 BC1	234	0.9669
684	B6.A-17 BC1	233	0.9628
364	B6.A-17 BC1	233	0.9628
246	B6.A-17 BC1	237	0.9793
221	B6.A-17 BC1	230	0.9504
208	B6.A-17 BC1	231	0.9545
135	B6.A-17 BC1	235	0.9711
203	B6.A-17 BC1	168	0.6942
197	B6.A-17 BC1	197	0.814
636	B6.A-19 BC1	237	0.9793
676	B6.A-19 BC1	218	0.9008
186	B6.A-19 BC1	232	0.9587
856	B6.A-19 BC1	236	0.9752
188	B6.A-19 BC1	233	0.9628
190	B6.A-19 BC1	233	0.9628
342	B6.A-19 BC1	221	0.9132
149	B6.A-19 BC1	225	0.9298
234	B6.A-19 BC1	197	0.814
237	B6.A-19 BC1	233	0.9628
407	B6.A-19 BC1	234	0.9669
600	B6.A-19 BC1	234	0.9669
678	B6.A-19 BC1	234	0.9669
274	B6.A-19 BC1	236	0.9752
411	B6.A-19 BC1	234	0.9669
537	B6.A-19 BC1	238	0.9835
455	B6.A-19 BC1	238	0.9835
657	B6.A-19 BC1	237	0.9793
783	B6.A-19 BC1	231	0.9545
660	B6.A-19 BC1	232	0.9587
233	B6.A-19 BC1	233	0.9628
147	B6.A-19 BC1	232	0.9587
248	B6.A-19 BC1	235	0.9711
549	B6.A-19 BC1	238	0.9835
347	B6.A-19 BC1	230	0.9504
589	B6.A-19 BC1	236	0.9752
602	B6.A-19 BC1	233	0.9628
189	B6.A-19 BC1	235	0.9711
146	B6.A-19 BC1	234	0.9669
251	B6.A-19 BC1	215	0.8884
273	B6.A-19 BC1	234	0.9669
519	B6.A-19 BC1	237	0.9793
541	B6.A-19 BC1	239	0.9876
656	B6.A-19 BC1	239	0.9876
338	B6.A-19 BC1	231	0.9545
459	B6.A-19 BC1	233	0.9628
235	B6.A-19 BC1	234	0.9669
641	B6.A-19 BC1	232	0.9587
641	B6.A-19 BC1	232	0.9587
662	B6.A-19 BC1	230	0.9504
144	B6.A-19 BC1	235	0.9711
542	B6.A-19 BC1	235	0.9711
601	B6.A-19 BC1	234	0.9669
281	B6.A-19 BC1	161	0.6653
520	B6.A-19 BC1	130	0.5372
494	B6.A-19 BC1	234	0.9669
495	B6.A-19 BC1	231	0.9545
522	B6.A-19 BC1	234	0.9669
787	B6.A-19 BC1	231	0.9545
232	B6.A-19 BC1	220	0.9091
638	B6.A-19 BC1	235	0.9711
640	B6.A-19 BC1	239	0.9876
192	B6.A-19 BC1	233	0.9628
339	B6.A-19 BC1	232	0.9587
661	B6.A-19 BC1	231	0.9545
654	B6.A-19 BC1	239	0.9876
406	B6.A-19 BC1	233	0.9628
538	B6.A-19 BC1	236	0.9752
613	B6.A-19 BC1	235	0.9711
857	B6.A-19 BC1	238	0.9835
461	B6.A-19 BC1	234	0.9669
277	B6.A-19 BC1	235	0.9711
238	B6.A-19 BC1	233	0.9628
639	B6.A-19 BC1	233	0.9628
252	B6.A-19 BC1	234	0.9669
618	B6.A-19 BC1	234	0.9669
679	B6.A-19 BC1	232	0.9587
604	B6.A-19 BC1	238	0.9835
336	B6.A-19 BC1	217	0.8967
614	B6.A-19 BC1	238	0.9835
341	B6.A-19 BC1	222	0.9174
346	B6.A-19 BC1	231	0.9545
414	B6.A-19 BC1	233	0.9628
458	B6.A-19 BC1	233	0.9628
496	B6.A-19 BC1	219	0.905
535	B6.A-19 BC1	235	0.9711
543	B6.A-19 BC1	233	0.9628
585	B6.A-19 BC1	236	0.9752
279	B6.A-19 BC1	233	0.9628
860	B6.A-19 BC1	236	0.9752
285	B6.A-19 BC1	235	0.9711
550	B6.A-19 BC1	239	0.9876
619	B6.A-19 BC1	238	0.9835
498	B6.A-19 BC1	238	0.9835
