id	strain	ok	call.rate
7913	B6.A-17 BC1	234	0.9669
7508	B6.A-17 BC1	229	0.9463
7587	B6.A-17 BC1	237	0.9793
7762	B6.A-17 BC1	234	0.9669
7773	B6.A-17 BC1	235	0.9711
7779	B6.A-17 BC1	236	0.9752
7808	B6.A-17 BC1	237	0.9793
7809	B6.A-17 BC1	236	0.9752
7812	B6.A-17 BC1	237	0.9793
7820	B6.A-17 BC1	236	0.9752
7829	B6.A-17 BC1	232	0.9587
7833	B6.A-17 BC1	234	0.9669
7854	B6.A-17 BC1	237	0.9793
7856	B6.A-17 BC1	236	0.9752
7961	B6.A-17 BC1	237	0.9793
7967	B6.A-17 BC1	237	0.9793
8026	B6.A-17 BC1	232	0.9587
8034	B6.A-17 BC1	236	0.9752
8036	B6.A-17 BC1	234	0.9669
8046	B6.A-17 BC1	233	0.9628
8064	B6.A-17 BC1	225	0.9298
8089	B6.A-17 BC1	235	0.9711
8114	B6.A-17 BC1	229	0.9463
8117	B6.A-17 BC1	233	0.9628
8121	B6.A-17 BC1	235	0.9711
8129	B6.A-17 BC1	231	0.9545
8134	B6.A-17 BC1	235	0.9711
8147	B6.A-17 BC1	235	0.9711
8153	B6.A-17 BC1	236	0.9752
8154	B6.A-17 BC1	236	0.9752
8165	B6.A-17 BC1	235	0.9711
8168	B6.A-17 BC1	236	0.9752
8196	B6.A-17 BC1	230	0.9504
8197	B6.A-17 BC1	199	0.8223
8232	B6.A-17 BC1	234	0.9669
8279	B6.A-17 BC1	236	0.9752
8300	B6.A-17 BC1	236	0.9752
8301	B6.A-17 BC1	238	0.9835
7924	B6.A-19 BC1	237	0.9793
7925	B6.A-19 BC1	196	0.8099
8054	B6.A-19 BC1	236	0.9752
8056	B6.A-19 BC1	236	0.9752
8058	B6.A-19 BC1	236	0.9752
8060	B6.A-19 BC1	235	0.9711
8092	B6.A-19 BC1	235	0.9711
8133	B6.A-19 BC1	235	0.9711
8160	B6.A-19 BC1	235	0.9711
8169	B6.A-19 BC1	231	0.9545
8170	B6.A-19 BC1	232	0.9587
8176	B6.A-19 BC1	235	0.9711
8237	B6.A-19 BC1	238	0.9835
8239	B6.A-19 BC1	237	0.9793
8243	B6.A-19 BC1	234	0.9669
8292	B6.A-19 BC1	236	0.9752
8303	B6.A-19 BC1	237	0.9793
8305	B6.A-19 BC1	238	0.9835
8087	B6.A-19 BC1	226	0.9339
7789	B6.A-X F1	228	0.9421
8265	B6.A-X F1	189	0.781
7498	B6.A-X F1	235	0.9711
7499	B6.A-X F1	232	0.9587
7500	B6.A-X F1	223	0.9215
7521	B6.A-X F1	235	0.9711
7522	B6.A-X F1	235	0.9711
7523	B6.A-X F1	237	0.9793
7525	B6.A-X F1	237	0.9793
7551	B6.A-X F1	236	0.9752
7552	B6.A-X F1	235	0.9711
7601	B6.A-X F1	232	0.9587
7602	B6.A-X F1	233	0.9628
7603	B6.A-X F1	235	0.9711
7701	B6.A-X F1	233	0.9628
7702	B6.A-X F1	237	0.9793
7703	B6.A-X F1	235	0.9711
7707	B6.A-X F1	237	0.9793
7710	B6.A-X F1	235	0.9711
7711	B6.A-X F1	236	0.9752
7712	B6.A-X F1	236	0.9752
7713	B6.A-X F1	237	0.9793
7722	B6.A-X F1	236	0.9752
7723	B6.A-X F1	235	0.9711
7724	B6.A-X F1	235	0.9711
7725	B6.A-X F1	237	0.9793
7726	B6.A-X F1	233	0.9628
7727	B6.A-X F1	236	0.9752
7730	B6.A-X F1	234	0.9669
7731	B6.A-X F1	235	0.9711
7774	B6.A-X F1	235	0.9711
7775	B6.A-X F1	234	0.9669
7776	B6.A-X F1	236	0.9752
7840	B6.A-X F1	237	0.9793
7841	B6.A-X F1	237	0.9793
7842	B6.A-X F1	236	0.9752
7843	B6.A-X F1	236	0.9752
