id	strain	ok	call.rate
7915	B6.A-17 BC1	238	0.9835
7919	B6.A-17 BC1	236	0.9752
7507	B6.A-17 BC1	231	0.9545
7510	B6.A-17 BC1	236	0.9752
7688	B6.A-17 BC1	233	0.9628
7743	B6.A-17 BC1	236	0.9752
7744	B6.A-17 BC1	234	0.9669
7747	B6.A-17 BC1	236	0.9752
7761	B6.A-17 BC1	236	0.9752
7764	B6.A-17 BC1	236	0.9752
7822	B6.A-17 BC1	234	0.9669
7824	B6.A-17 BC1	236	0.9752
7828	B6.A-17 BC1	236	0.9752
7830	B6.A-17 BC1	236	0.9752
7831	B6.A-17 BC1	236	0.9752
7832	B6.A-17 BC1	236	0.9752
7855	B6.A-17 BC1	235	0.9711
7904	B6.A-17 BC1	235	0.9711
7964	B6.A-17 BC1	233	0.9628
7965	B6.A-17 BC1	237	0.9793
7984	B6.A-17 BC1	235	0.9711
8006	B6.A-17 BC1	234	0.9669
8007	B6.A-17 BC1	235	0.9711
8008	B6.A-17 BC1	232	0.9587
8017	B6.A-17 BC1	231	0.9545
8018	B6.A-17 BC1	236	0.9752
8023	B6.A-17 BC1	234	0.9669
8027	B6.A-17 BC1	234	0.9669
8047	B6.A-17 BC1	235	0.9711
8120	B6.A-17 BC1	233	0.9628
8122	B6.A-17 BC1	230	0.9504
8123	B6.A-17 BC1	234	0.9669
8124	B6.A-17 BC1	235	0.9711
8128	B6.A-17 BC1	234	0.9669
8143	B6.A-17 BC1	229	0.9463
8162	B6.A-17 BC1	235	0.9711
8166	B6.A-17 BC1	235	0.9711
8173	B6.A-17 BC1	224	0.9256
8219	B6.A-17 BC1	230	0.9504
8220	B6.A-17 BC1	232	0.9587
8227	B6.A-17 BC1	236	0.9752
8257	B6.A-17 BC1	237	0.9793
8274	B6.A-17 BC1	230	0.9504
8280	B6.A-17 BC1	235	0.9711
7503	B6.A-17 BC1	221	0.9132
8050	B6.A-19 BC1	183	0.7562
7885	B6.A-19 BC1	237	0.9793
7887	B6.A-19 BC1	237	0.9793
7923	B6.A-19 BC1	236	0.9752
7991	B6.A-19 BC1	237	0.9793
7994	B6.A-19 BC1	234	0.9669
8010	B6.A-19 BC1	235	0.9711
8025	B6.A-19 BC1	236	0.9752
8052	B6.A-19 BC1	237	0.9793
8059	B6.A-19 BC1	235	0.9711
8093	B6.A-19 BC1	237	0.9793
8113	B6.A-19 BC1	234	0.9669
8132	B6.A-19 BC1	234	0.9669
8148	B6.A-19 BC1	236	0.9752
8149	B6.A-19 BC1	237	0.9793
8150	B6.A-19 BC1	234	0.9669
8241	B6.A-19 BC1	236	0.9752
8294	B6.A-19 BC1	237	0.9793
8306	B6.A-19 BC1	237	0.9793
8309	B6.A-19 BC1	237	0.9793
8311	B6.A-19 BC1	206	0.8512
8313	B6.A-19 BC1	237	0.9793
8314	B6.A-19 BC1	236	0.9752
7790	B6.A-X F1	230	0.9504
