id	strain	ok	call.rate
7570	B6.A-17 BC1	237	0.9793
7825	B6.A-17 BC1	236	0.9752
8028	B6.A-17 BC1	234	0.9669
7509	B6.A-17 BC1	229	0.9463
7963	B6.A-17 BC1	236	0.9752
8115	B6.A-17 BC1	235	0.9711
8297	B6.A-17 BC1	235	0.9711
8156	B6.A-17 BC1	204	0.843
7689	B6.A-17 BC1	236	0.9752
7827	B6.A-17 BC1	236	0.9752
7834	B6.A-17 BC1	236	0.9752
8267	B6.A-17 BC1	236	0.9752
7765	B6.A-17 BC1	236	0.9752
7778	B6.A-17 BC1	235	0.9711
7792	B6.A-17 BC1	237	0.9793
8022	B6.A-17 BC1	236	0.9752
7882	B6.A-17 BC1	227	0.938
8033	B6.A-17 BC1	237	0.9793
8061	B6.A-17 BC1	232	0.9587
8172	B6.A-17 BC1	234	0.9669
8273	B6.A-17 BC1	235	0.9711
7588	B6.A-17 BC1	232	0.9587
7960	B6.A-17 BC1	235	0.9711
7914	B6.A-17 BC1	236	0.9752
7826	B6.A-17 BC1	235	0.9711
8229	B6.A-17 BC1	236	0.9752
7858	B6.A-17 BC1	232	0.9587
7962	B6.A-17 BC1	237	0.9793
8228	B6.A-17 BC1	236	0.9752
8091	B6.A-17 BC1	235	0.9711
8146	B6.A-17 BC1	232	0.9587
8234	B6.A-17 BC1	234	0.9669
7748	B6.A-17 BC1	237	0.9793
7791	B6.A-17 BC1	234	0.9669
8118	B6.A-17 BC1	235	0.9711
7772	B6.A-17 BC1	232	0.9587
8049	B6.A-17 BC1	236	0.9752
7506	B6.A-17 BC1	233	0.9628
8136	B6.A-17 BC1	235	0.9711
8167	B6.A-17 BC1	236	0.9752
8230	B6.A-17 BC1	237	0.9793
7920	B6.A-17 BC1	237	0.9793
7528	B6.A-17 BC1	235	0.9711
8130	B6.A-17 BC1	234	0.9669
7550	B6.A-17 BC1	235	0.9711
7547	B6.A-17 BC1	237	0.9793
7753	B6.A-17 BC1	235	0.9711
8254	B6.A-17 BC1	237	0.9793
8100	B6.A-17 BC1	234	0.9669
8218	B6.A-17 BC1	227	0.938
8268	B6.A-17 BC1	236	0.9752
8171	B6.A-17 BC1	185	0.7645
8269	B6.A-17 BC1	236	0.9752
7505	B6.A-17 BC1	231	0.9545
7813	B6.A-17 BC1	236	0.9752
8145	B6.A-17 BC1	234	0.9669
8101	B6.A-17 BC1	234	0.9669
8231	B6.A-17 BC1	232	0.9587
7527	B6.A-17 BC1	233	0.9628
7752	B6.A-17 BC1	232	0.9587
8266	B6.A-17 BC1	236	0.9752
7777	B6.A-17 BC1	234	0.9669
7823	B6.A-17 BC1	235	0.9711
8235	B6.A-17 BC1	238	0.9835
7810	B6.A-17 BC1	236	0.9752
8271	B6.A-17 BC1	235	0.9711
7883	B6.A-17 BC1	234	0.9669
7985	B6.A-17 BC1	235	0.9711
7794	B6.A-17 BC1	152	0.6281
7902	B6.A-17 BC1	236	0.9752
7857	B6.A-17 BC1	216	0.8926
7754	B6.A-17 BC1	233	0.9628
8116	B6.A-17 BC1	234	0.9669
8032	B6.A-17 BC1	236	0.9752
7755	B6.A-17 BC1	236	0.9752
8157	B6.A-17 BC1	235	0.9711
7917	B6.A-17 BC1	238	0.9835
7881	B6.A-17 BC1	222	0.9174
8151	B6.A-17 BC1	235	0.9711
7766	B6.A-17 BC1	236	0.9752
8090	B6.A-17 BC1	230	0.9504
7529	B6.A-17 BC1	236	0.9752
8019	B6.A-17 BC1	235	0.9711
8277	B6.A-17 BC1	236	0.9752
7811	B6.A-17 BC1	236	0.9752
8278	B6.A-17 BC1	235	0.9711
7793	B6.A-17 BC1	232	0.9587
8215	B6.A-17 BC1	229	0.9463
7821	B6.A-17 BC1	237	0.9793
8298	B6.A-17 BC1	232	0.9587
8152	B6.A-17 BC1	230	0.9504
7912	B6.A-17 BC1	235	0.9711
7511	B6.A-17 BC1	236	0.9752
7745	B6.A-17 BC1	236	0.9752
7780	B6.A-17 BC1	233	0.9628
7795	B6.A-17 BC1	236	0.9752
7905	B6.A-17 BC1	236	0.9752
8159	B6.A-17 BC1	232	0.9587
8029	B6.A-17 BC1	232	0.9587
8158	B6.A-17 BC1	234	0.9669
8065	B6.A-17 BC1	234	0.9669
8281	B6.A-17 BC1	236	0.9752
7742	B6.A-17 BC1	234	0.9669
7685	B6.A-17 BC1	236	0.9752
7771	B6.A-17 BC1	237	0.9793
8233	B6.A-17 BC1	236	0.9752
8199	B6.A-17 BC1	227	0.938
7518	B6.A-17 BC1	236	0.9752
8221	B6.A-17 BC1	237	0.9793
8005	B6.A-17 BC1	231	0.9545
8048	B6.A-17 BC1	234	0.9669
8119	B6.A-17 BC1	230	0.9504
7921	B6.A-17 BC1	234	0.9669
8144	B6.A-17 BC1	234	0.9669
8127	B6.A-17 BC1	235	0.9711
8253	B6.A-17 BC1	237	0.9793
8256	B6.A-17 BC1	236	0.9752
8088	B6.A-17 BC1	231	0.9545
8255	B6.A-17 BC1	237	0.9793
7918	B6.A-17 BC1	236	0.9752
7814	B6.A-17 BC1	236	0.9752
7749	B6.A-17 BC1	236	0.9752
7966	B6.A-17 BC1	236	0.9752
8236	B6.A-17 BC1	236	0.9752
8270	B6.A-17 BC1	236	0.9752
8276	B6.A-17 BC1	235	0.9711
8299	B6.A-17 BC1	231	0.9545
8085	B6.A-17 BC1	229	0.9463
7903	B6.A-17 BC1	235	0.9711
8035	B6.A-17 BC1	232	0.9587
7769	B6.A-17 BC1	236	0.9752
7504	B6.A-17 BC1	235	0.9711
7746	B6.A-17 BC1	228	0.9421
8021	B6.A-17 BC1	236	0.9752
7763	B6.A-17 BC1	231	0.9545
8275	B6.A-19 BC1	234	0.9669
7884	B6.A-19 BC1	236	0.9752
7992	B6.A-19 BC1	235	0.9711
8076	B6.A-19 BC1	233	0.9628
8295	B6.A-19 BC1	237	0.9793
8137	B6.A-19 BC1	232	0.9587
8178	B6.A-19 BC1	235	0.9711
8304	B6.A-19 BC1	236	0.9752
8312	B6.A-19 BC1	238	0.9835
7922	B6.A-19 BC1	234	0.9669
8068	B6.A-19 BC1	214	0.8843
8175	B6.A-19 BC1	235	0.9711
8057	B6.A-19 BC1	236	0.9752
8077	B6.A-19 BC1	233	0.9628
8293	B6.A-19 BC1	238	0.9835
8307	B6.A-19 BC1	236	0.9752
8242	B6.A-19 BC1	236	0.9752
8315	B6.A-19 BC1	237	0.9793
8009	B6.A-19 BC1	236	0.9752
8051	B6.A-19 BC1	236	0.9752
8135	B6.A-19 BC1	235	0.9711
8174	B6.A-19 BC1	234	0.9669
8177	B6.A-19 BC1	203	0.8388
8138	B6.A-19 BC1	230	0.9504
8141	B6.A-19 BC1	189	0.781
8296	B6.A-19 BC1	236	0.9752
7993	B6.A-19 BC1	237	0.9793
8069	B6.A-19 BC1	181	0.7479
8112	B6.A-19 BC1	190	0.7851
8139	B6.A-19 BC1	189	0.781
7926	B6.A-19 BC1	220	0.9091
7886	B6.A-19 BC1	236	0.9752
8024	B6.A-19 BC1	234	0.9669
8131	B6.A-19 BC1	234	0.9669
8140	B6.A-19 BC1	228	0.9421
8111	B6.A-19 BC1	231	0.9545
8067	B6.A-19 BC1	144	0.595
8067	B6.A-19 BC1	144	0.595
8086	B6.A-19 BC1	235	0.9711
8240	B6.A-19 BC1	237	0.9793
8053	B6.A-19 BC1	236	0.9752
8308	B6.A-19 BC1	237	0.9793
8142	B6.A-19 BC1	189	0.781
8222	B6.A-19 BC1	238	0.9835
8238	B6.A-19 BC1	236	0.9752
8302	B6.A-19 BC1	237	0.9793
8078	B6.A-19 BC1	188	0.7769
8110	B6.A-19 BC1	235	0.9711
8179	B6.A-19 BC1	236	0.9752
8310	B6.A-19 BC1	237	0.9793
8070	B6.A-19 BC1	142	0.5868
8055	B6.A-19 BC1	237	0.9793
