id	strain	ok	call.rate
1221	B6.A-15 BC1	226	0.961702128
1229	B6.A-15 BC1	181	0.770212766
1234	B6.A-19 BC1	227	0.965957447
1236	B6.A-19 BC1	229	0.974468085
1237	B6.A-19 BC1	227	0.965957447
1238	B6.A-19 BC1	232	0.987234043
1242	B6.A-17 BC1	227	0.965957447
1243	B6.A-17 BC1	184	0.782978723
1249	B6.A-19 BC1	228	0.970212766
1250	B6.A-19 BC1	227	0.965957447
1259	B6.A-17 BC1	231	0.982978723
1273	B6.A-15 BC1	231	0.982978723
1274	B6.A-15 BC1	179	0.761702128
1275	B6.A-15 BC1	184	0.782978723
1276	B6.A-15 BC1	229	0.974468085
1277	B6.A-15 BC1	229	0.974468085
1281	B6.A-15 BC1	230	0.978723404
1282	B6.A-15 BC1	227	0.965957447
1287	B6.A-15 BC1	227	0.965957447
1288	B6.A-15 BC1	228	0.970212766
1291	B6.A-15 BC1	228	0.970212766
1293	B6.A-15 BC1	225	0.957446809
1295	B6.A-15 BC1	226	0.961702128
1297	B6.A-17 BC1	228	0.970212766
3315	B6.A-15 BC1	231	0.982978723
3317	B6.A-15 BC1	232	0.987234043
3321	B6.A-15 BC1	230	0.978723404
3325	B6.A-15 BC1	231	0.982978723
3326	B6.A-15 BC1	231	0.982978723
3327	B6.A-15 BC1	228	0.970212766
3328	B6.A-15 BC1	231	0.982978723
3329	B6.A-15 BC1	230	0.978723404
3349	B6.A-15 BC1	231	0.982978723
3352	B6.A-15 BC1	184	0.782978723
3353	B6.A-19 BC1	227	0.965957447
3355	B6.A-19 BC1	229	0.974468085
3362	B6.A-19 BC1	232	0.987234043
3364	B6.A-19 BC1	227	0.965957447
3365	B6.A-19 BC1	232	0.987234043
3368	B6.A-17 F1	228	0.970212766
3395	B6.A-X	222	0.944680851
3396	B6.A-X	231	0.982978723
3397	B6.A-X	232	0.987234043
3398	B6.A-19 BC1	229	0.974468085
3399	B6.A-19 BC1	230	0.978723404
3515	B6.A-15 F1	229	0.974468085
401	B6.A-17 BC1	229	0.974468085
403	B6.A-17 BC1	228	0.970212766
405	B6.A-17 BC1	227	0.965957447
407	B6.A-17 BC1	226	0.961702128
409	B6.A-17 BC1	231	0.982978723
411	B6.A-17 BC1	229	0.974468085
412	B6.A-17 BC1	229	0.974468085
431	B6.A-19 BC1	227	0.965957447
432	B6.A-19 BC1	228	0.970212766
434	B6.A-19 BC1	228	0.970212766
435	B6.A-19 BC1	229	0.974468085
436	B6.A-19 BC1	224	0.953191489
437	B6.A-19 BC1	226	0.961702128
438	B6.A-19 BC1	229	0.974468085
442	B6.A-19 BC1	228	0.970212766
443	B6.A-19 BC1	225	0.957446809
445	B6.A-19 BC1	182	0.774468085
450	B6.A-19 BC1	182	0.774468085
461	B6.A-17 BC1	224	0.953191489
463	B6.A-17 BC1	228	0.970212766
464	B6.A-17 BC1	229	0.974468085
465	B6.A-17 BC1	230	0.978723404
467	B6.A-17 BC1	229	0.974468085
468	B6.A-17 BC1	229	0.974468085
469	B6.A-17 BC1	228	0.970212766
4703	B6.A-19	222	0.944680851
4704	B6.A-15	226	0.961702128
4705	B6.A-15	225	0.957446809
4706	B6	223	0.94893617
4707	B6	227	0.965957447
4708	B6	228	0.970212766
4710	B6.A-17	228	0.970212766
4711	B6.A-17	219	0.931914894
4713	B6.A-X	231	0.982978723
474	B6.A-15 BC1	185	0.787234043
4800	B6.A-X	222	0.944680851
481	B6.A-15 BC1	221	0.940425532
482	B6.A-15 BC1	232	0.987234043
485	B6.A-17 F1	229	0.974468085
488	B6.A-15 BC1	184	0.782978723
489	B6.A-19 BC1	229	0.974468085
4909	B6.A-15 F1	227	0.965957447
4931	B6.A-17 F1	228	0.970212766
4932	B6.A-19 F1	229	0.974468085
4967	B6.A-19 F1	225	0.957446809
5009	B6.A-17 F1	226	0.961702128
5023	B6.A-19 F1	221	0.940425532
5081	B6.A-15 F1	228	0.970212766
5104	B6.A-15 F1	227	0.965957447
5152	B6.A-X F1	183	0.778723404
5154	B6.A-X F1	185	0.787234043
5155	B6.A-15 BC1	231	0.982978723
5156	B6.A-15 BC1	231	0.982978723
5169	B6.A-15 BC1	225	0.957446809
5170	B6.A-15 BC1	227	0.965957447
5171	B6.A-15 BC1	183	0.778723404
5181	B6.A-15 BC1	177	0.753191489
5185	B6.A-15 BC1	231	0.982978723
5186	B6.A-15 BC1	232	0.987234043
5190	B6.A-15 BC1	184	0.782978723
5191	B6.A-15 BC1	230	0.978723404
5192	B6.A-15 BC1	232	0.987234043
5193	B6.A-15 BC1	231	0.982978723
5195	B6.A-15 BC1	228	0.970212766
5200	B6.A-15 BC1	183	0.778723404
5202	B6.A-15 BC1	231	0.982978723
5215	B6.A-19 F1	228	0.970212766
5225	B6.A-17 F1	228	0.970212766
5254	B6.A-15 BC1	228	0.970212766
5266	B6.A-19 F1	228	0.970212766
5274	B6.A-15 BC1	228	0.970212766
5276	B6.A-15 BC1	224	0.953191489
5291	B6.A-15 BC1	228	0.970212766
5608	B6.A-15 BC1	229	0.974468085
5610	B6.A-15 BC1	228	0.970212766
5612	B6.A-15 BC1	228	0.970212766
5618	B6.A-19 BC1	226	0.961702128
5619	B6.A-19 BC1	231	0.982978723
5621	B6.A-15 BC1	184	0.782978723
5622	B6.A-15 BC1	231	0.982978723
5624	B6.A-15 BC1	228	0.970212766
5625	B6.A-15 BC1	227	0.965957447
5626	B6.A-15 BC1	185	0.787234043
5627	B6.A-17 BC1	228	0.970212766
5628	B6.A-17 BC1	229	0.974468085
5629	B6.A-17 BC1	229	0.974468085
5630	B6.A-17 BC1	226	0.961702128
5632	B6.A-17 BC1	229	0.974468085
5637	B6.A-19 BC1	168	0.714893617
5648	B6.A-19 BC1	227	0.965957447
5652	B6.A-15 BC1	183	0.778723404
5654	B6.A-15 BC1	232	0.987234043
5661	B6.A-17 BC1	229	0.974468085
5662	B6.A-17 BC1	227	0.965957447
5669	B6.A-15 BC1	232	0.987234043
5670	B6.A-15 BC1	230	0.978723404
5673	B6.A-15 BC1	229	0.974468085
5674	B6.A-15 BC1	185	0.787234043
5676	B6.A-15 BC1	233	0.991489362
5677	B6.A-15 BC1	228	0.970212766
5679	B6.A-15 BC1	230	0.978723404
5680	B6.A-15 BC1	229	0.974468085
5681	B6.A-19 BC1	230	0.978723404
5682	B6.A-19 BC1	231	0.982978723
5683	B6.A-15 BC1	227	0.965957447
5684	B6.A-15 BC1	232	0.987234043
5689	B6.A-17 BC1	229	0.974468085
5694	B6.A-19 BC1	231	0.982978723
5695	B6.A-19 BC1	229	0.974468085
5700	B6.A-15 BC1	228	0.970212766
5716	B6.A-15 BC1	231	0.982978723
5718	B6.A-19 BC1	230	0.978723404
5719	B6.A-19 BC1	222	0.944680851
5720	B6.A-19 BC1	230	0.978723404
5721	B6.A-19 BC1	230	0.978723404
5722	B6.A-19 BC1	231	0.982978723
5723	B6.A-19 BC1	227	0.965957447
