id,rs49897391,rs32637673,rs49040456,rs32655523,rs32673981,rs45949645,rs32682793,rs45991008,rs49956984,rs47687055,rs32297335,rs50553337,rs32488968,rs31693943,rs31781588,rs50006492,rs32123891,rs52581085,rs32164621,rs32121168,rs50342151,rs46843894,rs32149475,rs31707428,rs32452940,rs32182021,rs31842476,rs31754996,rs31602838,ULG26023346,rs31759558,rs46611993,rs32939091,rs32356892,rs32084470,rs46711959,rs31557663,rs8267941,rs31810041,rs33858761,ULG34399548,rs31574381,rs108459662,rs46787259,rs32360090,rs50669985,rs52121275,rs49010913,rs50874633,rs31891086,rs33215641,rs31715952,rs31556696,rs49946313,rs31640282,rs32422573,rs32193344,rs32395275,rs32134182,rs32410604,rs33374515,rs32014909,rs31955468,rs32480234,rs32137018,rs32380527,rs32054793,rs33540322,rs33605703,rs33572614,rs51471383,rs36521447,rs32055509,rs46843366,rs32286262,rs6298003,rs31928923,rs31902102,rs32148566,rs51713082,rs31206144,rs31227414,rs31273256,rs31330017,rs31397643,rs31397906,rs32178101,rs31452190,rs46729192,rs37352671,rs31675052,rs49896318,rs49188272,rs50192187,rs32103228,rs31872206,rs31899562,rs31700455,rs32235849,rs51430799,rs31968787,rs32024146,rs32269206,rs31891169,rs31894036,rs32094488,rs31926381,rs32119556,rs47174784,rs32003698,rs32024688,rs50323435,rs32272940,rs31737566,rs46559170,rs32144298,rs31882910,rs50832373,rs46889421,rs31918271,rs32289676,rs31590098,rs32179213,rs31891709,rs31752934,rs32338125,rs31610518,rs31985811,rs29498809,rs29539527,rs108467584,rs46041912,rs33260080,rs46620699,rs3684897,rs33358184,ULG10645965,rs33745770,rs33601855,rs49412600,rs50152955,rs33061216,rs33085140,rs51220252,rs33536970,rs107719027,rs33086113,rs48149337,rs49645304,rs51996426,rs50169031,ULG23509098,rs33556914,rs107783838,rs33636184,rs33479948,rs33635943,rs48496553,rs46757444,rs3693494,rs33726013,rs33442591,rs107600512,rs33646814,rs29539274,rs33299979,rs47729076,rs33442335,rs47323735,rs33807484,rs33802759,rs46329039,rs45992938,rs48814536,rs46002205,rs33538727,rs33061928,rs33171384,rs108588576,rs51470574,rs33673218,rs33334811,rs33241964,rs33516917,rs33364286,rs29500708,rs13483032,rs46195755,rs33127603,rs48396352,rs45733945,rs33389705,rs51660544,rs50904802,rs29498805,rs51746172,rs33336902,rs46726320,rs49737367,rs50791623,rs33662527,rs33237977,rs33655007,rs33294054,rs33319224,rs6233288,rs33636358,rs33254667,rs107833597,rs107662767,rs33357152,rs46496980,ULG74761280,rs33711977,rs33657419,rs33340959,rs49534376,rs49639175,rs33466184,rs33273769,rs52606191,rs50675508,rs49695473,rs29747137,rs49461948,rs50648121,rs29764621,rs29763931,rs33334805,rs33676294,rs48536879,rs33238264,rs33651619,rs33200967,rs48324821,rs107708765,ULG3100170,rs50178475,rs51345045,rs30664260,rs31086531,rs38893217,rs30989704,rs46259296,rs49628217,rs31078934,rs36537044,rs30407212,rs30755836,rs31134948,rs37008132,rs46535292,rs36768234,rs36397401,rs50136181,rs37586872,rs31154161,rs30319529,rs30865758,rs30990193,rs30705729,rs30352331,rs30371518,rs30748627,rs31267761,rs36585337,rs13483588,ULG29755517,rs36514014,rs38276147,rs52634287,rs45818951,rs47033126,rs13483598,rs13483604,ULG36546291,rs37566883,rs31209387,rs31126195,ULG39032888,rs30355620,rs31009044,rs30458010,rs30320658,rs31159015,rs31011011,rs30415222,rs30545981,rs36420100,rs51838020,rs30398161,rs3668847,rs13483656,rs36973884,rs37736991,rs30755639,rs30782622,rs46618670,rs30959372,rs30801092,rs51341177,rs30454394,rs37951537,rs51711706,rs48099419,rs30758085,rs30835937,rs30723889,rs29739154,rs31569672,rs29031963,rs29079509,rs13483989,rs29289531,X_160865233,X_161557385,X_162114959,rs31777082,rs31786678,rs31797042,rs31813980,rs31821834,X_166416462,X_166416845,rs31820187,rs31825237,X_166422140,X_166428277,ULG166428456,X_166428620,rs50753219,rs48583840,ULG166432362,X_166435251,rs46999099,ULG_166504920,UK_Xpar1,UK_Xpar3,UK_Xpar2,rs45850354,rs48098632,rs46643293,rs46269639,rs49888853,rs51898375,SRY
,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Y,Y,Y,Y,Y,Y,Y
,3.003631,3.907626,5.10725,5.369034,6.097511,7.172266,8.173336,8.509545,9.281536,9.291566,10.322623,10.340037,11.377555,12.444846,13.465032,14.518034,15.559335,16.610623,17.659912,18.698608,19.758904,19.797534,20.794147,21.838708,22.884,23.927538,24.97432,24.975672,26.020136,26.023346,27.071624,28.112928,28.122863,29.103104,30.208585,31.253547,32.299097,33.396232,34.391419,34.392857,34.399548,35.459645,36.503561,36.570021,37.532658,38.5848,39.701883,39.755058,40.723797,41.716396,41.731329,42.774776,42.77563,43.817799,44.870823,45.90382,46.948801,47.987607,47.990056,49.047828,50.086936,50.088092,51.131786,52.24618,53.22701,54.274223,55.310098,56.442173,57.051107,57.441867,57.879695,58.457564,59.406066,60.586268,61.525291,62.669774,63.694536,64.737333,65.779927,66.824835,67.821589,68.217243,68.856348,69.943867,70.996267,71.015386,72.050562,72.984871,73.625338,74.213443,75.20327,76.265175,77.290883,78.330479,79.383608,80.428468,81.477766,82.666889,83.585954,84.61373,84.617169,85.669854,86.704997,87.753577,87.757322,88.727426,89.866204,90.888753,90.900572,90.903113,91.928588,92.985277,92.986612,94.044142,95.076494,96.128954,96.131088,97.076907,97.332533,98.218893,99.262271,100.19172,100.333113,101.355929,102.440448,102.456765,103.426929,103.448146,3.002744,4.283997,4.28509,5.697267,6.019083,6.910358,8.121379,9.463907,10.645965,10.720205,11.970507,13.254572,14.538048,15.792123,17.085306,17.088255,18.377932,19.649667,20.949968,20.951413,22.221692,22.226002,23.507915,23.509098,23.510046,24.783875,24.785005,26.054318,27.351057,28.633921,28.6363,29.917069,31.19374,32.477508,33.763877,34.991909,35.031955,35.677843,36.309384,36.982344,37.628855,38.285669,38.875824,39.503992,40.051627,41.449512,42.725774,42.732443,44.00085,45.29,46.571411,46.57957,47.850904,47.853747,49.126642,49.127553,50.415432,51.693275,52.981136,54.277959,54.277959,55.555862,56.847698,57.45245,58.124852,59.04851,60.051625,60.051625,60.481275,61.847708,62.607069,63.312188,64.515226,65.778512,65.783657,67.069208,68.378508,69.639753,69.646169,70.930918,72.189493,72.194664,73.481211,74.760679,74.76128,76.042169,76.688936,77.320225,77.958076,78.802359,79.900452,81.171621,82.524353,82.528394,83.733553,85.04202,86.298415,86.299521,87.593529,87.59462,88.860679,90.144141,91.420526,92.66105,92.707023,94.033121,95.23728,95.269111,3.10017,3.104629,3.110406,4.341689,5.589252,7.007349,7.533049,8.052882,8.052882,8.675912,9.288359,10.539576,10.540318,11.770997,13.10284,14.27858,15.497242,16.732896,17.281291,17.940718,18.592,19.218675,20.450537,21.694955,22.927612,24.168234,25.408778,26.640013,27.887586,29.2131,29.703425,29.755517,30.354552,31.113002,31.567144,32.219166,32.843197,34.279422,35.331721,36.546291,36.595143,37.801219,39.03099,39.032888,40.271796,40.273307,41.516204,42.759088,43.374779,43.995941,44.001631,45.234659,45.240271,46.484887,46.497318,47.714585,48.941859,50.243477,50.2538,51.428605,52.669049,52.911203,53.906628,55.147114,56.472984,56.997384,57.659406,58.861664,58.861881,60.111971,61.340899,5.035626,21.798366,51.201329,75.33714,100.020547,124.911009,150.000163,160.865233,161.557385,162.114959,165.619222,165.847914,165.927851,166.322071,166.412988,166.416462,166.416845,166.418353,166.420138,166.42214,166.428277,166.428456,166.42862,166.428981,166.431341,166.432362,166.435251,166.435744,166.50492,166.584623,166.58887,166.59748,0.062809,0.787292,1.364546,1.41388,1.828403,2.617883,1.918381
401,BB,BB,AA,=,BB,BB,BB,=,AB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,BB,BB,AB,=,BB,=,BB,AA,=,BB,BB,BB,BB,BB,=,BB,=,BB,AA,=,BB,BB,BB,=,BB,BB,=,BB,=,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,BB,BB,BB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,BB,=,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,=,BB,=,BB,BB,=,BB,BB,AA,=,BB,BB,BB,BB,=,=,=,AB,AB,AB,=,BB,AB,=,AB,AB,=,AB,AB,AB,AB,=,AB,=,AB,=,=,=,AB,AB,AB,BB,=,AB,AB,BB,BB,=,BB,=,BB,=,BB,=,BB,=,AB,BB,BB,=,BB,BB,AA,=,=,BB,=,AB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,=,=,BB,BB,=,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,=,BB,=,BB,=,BB,BB,BB,BB,=,BB,BB,BB,=,=,BB,BB,BB,BB,=,=,BB,BB,AA,=,AB,=,BB,BB,BB,=,BB,BB,=,BB,BB,=,BB,BB,BB,BB,BB,=,BB,=,=,BB,BB,BB,BB,BB,BB,BB,BB,=,=,=,=,BB,=,BB,BB,BB,=,BB,BB,BB,=,=,BB,BB,BB,=,BB,=,=,BB,BB,=,BB,BB,BB,=,BB,=,BB,BB,BB,AA,=,BB,=,BB,BB,BB,=,=,=,=,=,=,=,=,=,=,BB,AA,=,BB,BB,=,=,=,BB,=,=,=,=,AB,=,=,=,BB,=,BB,BB,=,=,=,=,=,=,=,=
402,BB,BB,=,=,BB,BB,BB,=,AB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,BB,BB,AB,=,BB,=,BB,AA,=,BB,BB,BB,BB,BB,=,BB,=,BB,AA,=,BB,BB,BB,=,BB,BB,=,BB,=,BB,BB,BB,AB,BB,=,BB,BB,=,BB,BB,BB,BB,BB,BB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,BB,=,=,BB,BB,BB,=,BB,BB,=,BB,BB,BB,=,BB,=,BB,BB,=,BB,BB,AA,=,BB,BB,BB,BB,=,=,=,AB,AB,AB,=,BB,AB,AB,=,AB,=,AB,=,=,AB,=,=,=,AB,=,=,=,AB,AA,AB,BB,=,AB,AB,AB,BB,=,BB,=,BB,=,BB,=,BB,=,AB,AB,BB,=,AB,AB,AA,=,=,AB,=,AA,AB,AB,=,AB,=,AB,BB,=,BB,BB,=,=,BB,BB,=,BB,=,AB,AB,AB,AB,AB,=,AB,BB,=,AB,AB,=,AB,=,BB,=,BB,AB,AB,BB,=,AB,AB,AB,=,=,BB,AB,AB,AB,=,=,AB,BB,AA,=,AB,=,BB,BB,BB,=,BB,BB,=,BB,BB,=,BB,BB,BB,BB,BB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,=,AB,=,BB,=,BB,BB,=,=,BB,BB,BB,=,=,BB,BB,BB,=,BB,=,=,BB,BB,=,BB,BB,BB,=,BB,=,BB,BB,BB,AA,=,BB,=,BB,BB,BB,=,=,=,=,=,=,=,=,=,=,BB,AA,=,BB,AB,=,=,=,BB,=,=,=,=,BB,=,=,=,BB,=,AA,BB,=,=,=,=,=,=,=,=
403,BB,BB,AA,=,BB,BB,BB,=,AB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,BB,BB,AB,=,BB,=,BB,AA,=,BB,BB,BB,BB,BB,=,BB,=,BB,AA,=,BB,BB,BB,=,BB,BB,=,BB,=,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,BB,BB,BB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,BB,=,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,=,BB,=,BB,BB,=,BB,BB,AA,=,BB,BB,BB,BB,=,=,=,AB,AB,AB,=,BB,AB,=,AB,AB,=,AB,AB,AB,AB,=,AB,=,AB,=,=,=,AB,AB,AB,BB,=,AB,AB,AB,BB,=,AA,=,BB,=,BB,=,BB,=,AB,AB,BB,=,AB,AB,AA,=,=,AB,=,AA,AB,AB,AB,AB,AB,AB,BB,=,BB,BB,=,=,BB,BB,=,BB,=,AB,AB,AB,AB,AB,=,AB,BB,=,AB,AB,=,AB,=,AB,=,BB,BB,BB,=,=,BB,BB,BB,=,=,BB,BB,BB,BB,=,BB,BB,BB,AA,=,AB,=,BB,BB,BB,=,BB,BB,=,BB,BB,=,BB,BB,BB,BB,BB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,=,BB,=,BB,=,BB,BB,BB,=,BB,BB,BB,=,=,BB,BB,BB,=,BB,=,=,BB,BB,=,BB,BB,BB,=,BB,=,BB,BB,BB,AA,=,BB,=,BB,BB,BB,=,=,=,=,=,=,=,=,=,=,BB,AA,=,BB,=,=,=,=,BB,=,=,=,=,AB,=,=,=,BB,=,BB,=,=,=,=,=,=,=,=,=
404,BB,BB,AA,=,BB,BB,BB,=,AB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,BB,BB,AB,=,BB,=,BB,AA,=,BB,BB,BB,BB,BB,=,BB,=,BB,AA,=,BB,BB,BB,=,BB,BB,=,BB,=,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,BB,BB,BB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,BB,=,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,=,BB,=,BB,BB,=,BB,BB,AA,=,BB,BB,BB,BB,=,=,=,BB,BB,BB,=,BB,BB,BB,BB,BB,=,AB,BB,BB,BB,=,BB,=,BB,=,=,=,BB,BB,BB,BB,=,BB,BB,BB,BB,=,BB,=,BB,=,BB,=,BB,=,AB,BB,BB,=,BB,BB,AA,=,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,=,=,BB,BB,=,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,=,BB,=,BB,=,BB,BB,BB,=,=,BB,BB,BB,=,=,BB,BB,BB,BB,=,BB,BB,BB,AA,=,AB,=,BB,BB,BB,=,BB,BB,=,BB,BB,=,BB,BB,BB,BB,BB,=,BB,=,=,BB,BB,BB,BB,BB,BB,BB,BB,=,=,BB,=,BB,=,BB,BB,BB,=,BB,BB,BB,=,=,BB,BB,BB,=,BB,=,=,BB,BB,=,BB,BB,BB,=,BB,=,BB,BB,BB,AA,=,BB,=,BB,BB,BB,=,=,=,=,=,=,=,=,=,=,BB,AA,=,BB,BB,=,=,=,BB,=,=,=,=,AB,=,=,=,BB,=,=,BB,=,=,=,=,=,=,=,=
405,BB,BB,AA,=,BB,BB,BB,=,AB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,BB,BB,AB,=,BB,=,BB,AA,=,BB,BB,BB,BB,BB,=,BB,=,BB,AA,=,BB,BB,BB,=,BB,BB,=,BB,=,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,BB,BB,BB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,BB,=,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,=,BB,=,BB,BB,=,BB,BB,AA,=,BB,BB,BB,BB,=,=,=,AB,AB,AB,=,BB,AB,AB,AB,AB,=,AB,AB,AB,AB,=,AB,=,AB,=,=,=,AB,AB,AB,BB,=,AB,AB,AB,BB,=,AA,=,BB,=,BB,=,BB,=,AB,AB,BB,=,AB,AB,AA,=,=,AB,=,AA,AB,AB,AB,AB,AB,AB,BB,=,BB,BB,=,=,BB,BB,=,BB,=,AB,AB,AB,AB,AB,=,AB,BB,=,AB,AB,=,=,=,AB,=,BB,AB,AB,=,=,AB,BB,BB,=,=,BB,BB,BB,BB,=,BB,BB,BB,AA,=,AB,=,BB,BB,BB,=,BB,BB,=,BB,BB,=,BB,BB,BB,BB,BB,=,BB,=,=,BB,BB,BB,BB,BB,BB,BB,BB,=,=,BB,=,BB,=,BB,BB,BB,=,BB,BB,BB,=,=,BB,BB,BB,=,BB,=,=,BB,BB,=,BB,BB,BB,=,BB,=,BB,BB,BB,AA,=,=,=,BB,BB,BB,=,=,=,=,=,=,=,=,=,=,BB,AA,=,BB,=,=,=,=,BB,=,=,=,=,AB,=,=,=,BB,=,BB,BB,=,=,=,=,=,=,=,=
406,BB,BB,AA,=,BB,BB,BB,=,AB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,BB,BB,AB,=,BB,=,BB,AA,=,BB,BB,BB,BB,BB,=,BB,=,BB,AA,=,BB,BB,BB,=,BB,BB,=,BB,=,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,BB,BB,BB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,BB,=,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,=,BB,=,BB,BB,=,BB,BB,AA,=,BB,BB,BB,BB,=,=,=,BB,BB,BB,=,BB,BB,BB,BB,BB,=,AB,BB,BB,BB,=,BB,=,BB,=,=,=,BB,BB,BB,BB,=,BB,BB,BB,BB,=,BB,=,BB,=,BB,=,BB,=,AB,BB,BB,=,BB,BB,AA,=,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,=,=,BB,BB,=,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,=,BB,=,=,=,BB,BB,BB,=,=,BB,BB,BB,=,=,BB,BB,BB,BB,=,BB,BB,BB,AA,=,AB,=,BB,BB,BB,=,BB,BB,=,BB,BB,=,BB,BB,BB,BB,BB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,=,BB,=,BB,=,BB,BB,BB,=,BB,BB,BB,=,=,BB,BB,BB,=,BB,=,=,BB,BB,=,BB,BB,BB,=,BB,=,BB,BB,BB,AA,=,BB,=,BB,BB,BB,=,=,=,=,=,=,=,=,=,=,BB,AA,=,BB,=,=,=,=,BB,=,=,=,=,AB,=,=,=,BB,=,BB,AB,=,=,=,=,=,=,=,=
407,BB,BB,AA,=,BB,BB,BB,=,AB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,=,=,BB,BB,BB,BB,AB,=,BB,=,BB,AA,=,BB,BB,BB,BB,BB,=,BB,=,BB,AA,=,BB,BB,BB,=,BB,BB,=,BB,=,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,BB,BB,BB,=,BB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,BB,=,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,=,BB,=,BB,BB,=,BB,BB,AA,=,BB,BB,BB,BB,=,=,=,BB,BB,BB,=,BB,BB,BB,BB,BB,=,AB,BB,BB,BB,=,BB,=,BB,=,=,=,BB,BB,BB,BB,=,BB,BB,BB,BB,=,BB,=,BB,=,BB,=,BB,=,AB,BB,BB,=,BB,BB,AA,=,=,AB,=,AA,AB,AB,AB,AB,AB,AB,BB,=,BB,BB,=,=,BB,BB,=,BB,AB,AB,AB,AB,AB,AB,=,AB,BB,=,AB,AB,=,AB,=,AA,=,BB,AB,AB,BB,=,AB,AB,AB,=,=,AB,AB,=,AB,=,=,AB,BB,AA,=,AB,=,BB,BB,BB,=,BB,BB,=,BB,BB,=,BB,BB,BB,BB,BB,=,BB,=,=,BB,BB,BB,BB,BB,BB,BB,BB,=,=,=,=,BB,=,BB,BB,BB,=,BB,BB,BB,=,=,BB,BB,BB,=,BB,=,=,BB,BB,=,BB,BB,BB,=,BB,=,BB,BB,BB,AA,=,BB,=,BB,BB,BB,=,=,=,=,=,=,=,=,=,=,BB,AA,=,BB,BB,=,=,=,BB,=,=,=,=,AB,=,=,=,BB,=,BB,=,=,=,=,=,=,=,=,=
408,BB,BB,AA,=,BB,BB,BB,=,AB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,BB,BB,AB,=,BB,=,BB,AA,=,BB,BB,BB,BB,BB,=,BB,=,BB,AA,=,BB,BB,BB,=,BB,BB,=,BB,=,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,BB,BB,BB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,BB,=,BB,BB,BB,BB,=,BB,BB,=,BB,BB,BB,=,BB,=,BB,BB,=,BB,BB,AA,=,BB,BB,BB,BB,=,=,=,BB,BB,BB,=,BB,BB,BB,BB,BB,=,AB,BB,BB,BB,=,BB,=,BB,=,=,=,BB,BB,BB,BB,=,BB,BB,BB,BB,=,BB,=,BB,=,BB,=,BB,=,AB,BB,BB,=,BB,BB,AA,=,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,=,=,BB,BB,=,BB,BB,BB,BB,BB,BB,BB,=,BB,BB,=,BB,BB,=,BB,=,AB,=,BB,BB,BB,BB,=,BB,BB,BB,=,=,BB,BB,BB,BB,=,BB,BB,BB,AA,=,AB,=,BB,BB,BB,=,BB,BB,=,BB,BB,=,BB,BB,BB,BB,BB,=,BB,=,BB,BB,BB,BB,BB,BB,BB,BB,BB,=,=,BB,=,BB,=,BB,BB,BB,=,BB,BB,BB,=,=,BB,BB,BB,=,BB,=,=,BB,BB,=,BB,BB,BB,=,BB,=,BB,BB,BB,AA,=,BB,=,BB,BB,BB,=,=,=,=,=,=,=,=,=,=,BB,AA,=,BB,=,=,=,=,BB,=,=,=,=,AB,=,=,=,BB,=,AB,=,=,=,=,=,=,=,=,=
